chr	alpha1	alpha2	beta	meancovgenomic	meancovrep1	meancovrep2	totalnonzerobins	alpha1trainingregions	alpha2trainingregions	betatrainingregions	rep1signal	rep2signal	genomiccov999thpctile	significantbins1e-5
1	0.709325758127564	0.639237425210823	1.71219824763295	13.8343626907941	12.1844829649814	12.5617528984144	2222422	35688	24518	29532	0.236801060355323	0.370871160852953	91	77274
2	0.702268092982401	0.576861769571675	1.76590135548368	9.36047555784393	7.69462380628497	7.39145377380279	2359755	83369	51418	14606	0.209072470322984	0.362356318250675	59	40921
3	0.688316796633003	0.529464737997411	1.81392857967123	10.57717044868	8.53067094447461	8.06453838502437	1939311	43742	22889	15006	0.206637192662964	0.380497185710186	63	40906
4	0.683655536028119	0.532852758922059	1.76604122402881	8.96436812037634	6.91065369412869	6.09142814798745	1862293	80070	44541	8112	0.179063769372928	0.330759062064622	56	23011
5	0.696243142099335	0.563106583575359	1.87221915464057	10.3831100120995	8.54863562344208	8.25432636323939	1758752	69684	41027	10571	0.206951976701601	0.37659112578266	60	28348
6	0.680001320916716	0.545468296224589	1.75107129001093	11.6762342054293	9.42927352660866	8.87217450118363	1626350	35355	20068	13496	0.2047540625621	0.359815725792509	67	34914
7	0.708684250614785	0.610972327947594	1.75530114108628	9.82853154069304	8.20977943566749	8.01784866226237	1535017	49213	31574	11114	0.21277171082964	0.354961739987169	61	31110
8	0.702003486846982	0.590082930574027	1.75590496627354	7.16657028841281	5.71786180420091	5.45696528117913	1412836	90369	59513	5531	0.20646669231915	0.352128375627244	47	17080
9	0.714081450703988	0.584098680025445	1.7930798701895	10.2398778567763	8.8541545917792	9.05994039704415	1143903	62752	42789	12676	0.24054723934462	0.409793331015542	73	35539
10	0.709251165607466	0.619333045488025	1.67874355131308	10.6451046530069	8.98298552148568	8.9074651575694	1292605	38754	26346	8789	0.214940246342655	0.344842564090555	69	25399
11	0.698055482142777	0.561828002221063	1.65612649623711	9.09346620021909	8.04623915117603	8.32138176644742	1301754	60556	35941	14501	0.279519907287139	0.44392192587328	70	41396
12	0.694524874057591	0.581572811418074	1.7518922852284	10.0417558070518	8.59073535332695	8.56335312063841	1298981	33709	19731	12257	0.239096850469129	0.396648590177601	65	33589
13	0.688573918627586	0.572739328339486	1.73708119192213	11.3772125380657	8.67511288459519	7.51591095243096	952300	28280	17335	3579	0.150458341101039	0.270001981384255	60	9839
14	0.690561224489796	0.569753174944628	1.77075607998468	9.45983864750387	7.97027158950684	7.91903179378631	876838	32042	19454	6957	0.23489858807898	0.397199770203144	60	20730
15	0.719892742156298	0.641387206167937	1.75545059750702	9.74577086521978	8.43619417485496	8.72726403811158	795139	36167	27412	5987	0.229440025334227	0.36975188944399	66	16942
16	0.738218732191668	0.704968065075869	1.69373394654737	9.14150307649126	8.7440154904601	9.86910975125498	773121	37837	31825	7164	0.285167314292305	0.414365062218657	106	22001
17	0.742140387553268	0.732682843569539	1.66744101379069	12.0011991670861	11.9969266466112	13.7155086640472	768867	16948	14002	11283	0.298028101711216	0.417610578844901	91	33429
18	0.705700540220926	0.573244124088221	1.7049698535066	7.00524916522709	5.49514093446056	5.05172762283087	742118	59225	39169	1911	0.191686960578157	0.33233145313423	47	5831
19	0.736341332056729	0.714630788183289	1.62667275832682	12.3546067862827	13.5067229778614	16.3489726522934	552880	18227	15565	12410	0.359733766094087	0.484990651708768	113	36487
20	0.717327193300636	0.657055606846105	1.75832339322059	8.83792082864617	8.3084467289213	9.24524619492295	590264	17217	12359	5230	0.285152678866756	0.433663368375978	58	16939
21	0.679264311231903	0.558876108881168	1.77801491422258	9.65043122895915	8.22807702541677	8.32450919145293	345756	15882	9700	3709	0.252162042062585	0.421520574483886	68.2449999999953	10306
22	0.822947576656775	0.885455915599096	1.68811314857797	14.2126600346651	15.0157653261867	17.8909827111584	343285	5337	5361	4892	0.271451602826721	0.368916247269046	94	14461
X	0.695733050460345	0.561958941380163	1.79480936747081	6.52796132234117	5.05224149952832	4.67741205583583	1462860	118272	75633	4327	0.193046723882989	0.347080420824544	46	12653
autosomal	0.703647128977745	0.595386322736995	1.74897995186255	10.2471627652286	8.73633570711739	8.7422392992792	26494547	950423	612537	219313	0.225242556937079	0.374215584695367	67.6483519125652	616452
