chr	alpha1	alpha2	beta	meancovgenomic	meancovrep1	meancovrep2	totalnonzerobins	alpha1trainingregions	alpha2trainingregions	betatrainingregions	rep1signal	rep2signal	genomiccov999thpctile	significantbins1e-5
1	0.106991140529723	0.106752023623685	1.00028271246296	13.8829887546983	6.93165614964592	6.93310804494508	2214347	482179	481695	197501	0.795855072623208	0.796264206822086	91	349813
2	0.106745891247069	0.107507565275146	0.998448715595341	9.41115736293298	3.37891024892449	3.38085754202087	2346334	827593	830513	75318	0.728298512646146	0.726580983795832	59	152594
3	0.0992663494322207	0.0992806929413141	0.999687687579878	10.6030987926594	3.68171835887701	3.67841386234228	1934334	648933	648957	72533	0.736879674810741	0.736791088270675	63	135396
4	0.0916665882081672	0.0912367170115599	0.998934115102918	9.01306138716954	2.34303571804686	2.34068753068224	1851641	805308	803872	40076	0.68753744495545	0.688317621770171	56	74503
5	0.0982269403833576	0.0978527077316889	0.998503086072407	10.4413477316181	3.56851987103999	3.56153482314897	1748449	695604	693980	55442	0.735317206873692	0.735768320821395	60	104841
6	0.099141575832533	0.0993145275621169	0.999762143795495	11.7075755856757	4.07040316882085	4.07201742259536	1621802	502574	502494	61761	0.735829072324178	0.735443844286223	67	113783
7	0.105840736555723	0.105868300834922	0.998183114126873	9.88372680519113	4.03452517319927	4.02816077190646	1525988	512360	512847	72915	0.760671416906377	0.760292740643634	62	132081
8	0.108509808484342	0.108657886231416	0.998035744546077	7.23814696801037	2.4401392732153	2.43807177993287	1397828	629268	628575	35179	0.71434759141679	0.713667622510911	47	64818
9	0.108418747706552	0.108598742338201	0.999827493209141	10.384046830338	5.09193164055223	5.09226697941303	1127218	378848	378604	80899	0.792265196461972	0.791963633731209	73	131675
10	0.120954059516971	0.121258886599234	1.00101671991323	10.7026928933043	4.1290195587209	4.13081834796146	1285309	382054	381688	51023	0.713474152782049	0.713167244685577	70	103457
11	0.108797863763098	0.108606601438677	0.999719346720851	9.1528109737892	4.86100062962843	4.8587961566367	1292826	467931	466976	89571	0.807641161827315	0.807870801394729	70	153838
12	0.107156494983477	0.106935405761299	0.998506280640746	10.0735353978507	4.66260256482545	4.65082658192944	1294669	409204	408078	73445	0.784134193817329	0.78423075085595	65	132229
13	0.094117597017433	0.0941457573081545	1.00635253367495	11.4263772197697	2.6055220645243	2.60793236393939	948015	328542	329278	15683	0.634735834119169	0.636133487769713	60	33564
14	0.108419148504804	0.10865187994077	0.99769580330423	9.5120607004016	4.24176576729524	4.23981797679858	871757	292867	294100	41502	0.774037979030272	0.773258510164552	60	78824
15	0.129695752274844	0.129087642533216	1.00443944477949	9.84383459965379	4.84841648512825	4.85680877078371	786794	239670	239116	39773	0.754030333620366	0.755719618682471	67	73682
16	0.154664284553502	0.154751894061012	1.00123278414893	9.24080249837114	7.0718334035466	7.08309543683554	764338	217932	218316	61255	0.80862307039981	0.80872607304054	107	110935
17	0.154111323229305	0.153414118977527	0.999934488252384	12.0513337165101	10.1568952229175	10.1582720468172	765530	128903	128629	98390	0.823538207271548	0.824186685326657	91	171897
18	0.11143121684324	0.112256835661848	1.00087848954114	7.09566292549303	2.01737972115391	2.020408637261	731945	337814	338629	9715	0.657611430022995	0.656145544365533	47	21362
19	0.173680696332971	0.17513564236132	0.99896672006638	12.4414113955992	14.5204997257958	14.5304694631245	548861	100471	100860	111064	0.85425212039358	0.853080869221707	113	182289
20	0.142071288845046	0.141996834214377	0.998827273437439	8.87465350746586	5.56786999617135	5.56648147360361	587675	154392	154549	39726	0.785893304068212	0.785784044108709	58	80899
21	0.100069013112491	0.101383123590988	1.00282826266982	9.71839152464839	4.34334089922408	4.36200019230377	343207	126668	127832	21969	0.79079680033584	0.789100625202239	69	37346
22	0.195542119005085	0.194361097886381	1.0017135619854	14.2825594945307	12.5872684046565	12.5838427845314	341544	29968	29966	47100	0.784188713639725	0.785500802456294	94	87236
X	0.0999202173077744	0.0993780760782008	1.00211593532454	6.6157472074304	1.95210151873064	1.95037874637101	1441862	737098	735608	26605	0.703030300331002	0.704605036525825	47	50026
autosomal	0.111483190610916	0.111525611003652	0.999773800691183	10.3079236970513	4.64044309828662	4.64000254306702	26330411	8699083	8699554	1391840	0.749966232485193	0.749856405812338	67.8274299250399	2527062
